K74,070106600,7,Night,T-203TH,123000-5440C101,2019-12-13 03:47:04,4,BRC00741,BRC00744,FA-6,20191213070106600,86120-0KA20-00,HEAD UNIT,4-170209105004.jpg,Printed,,4,
K72,070106601,7,Night,T-201TH,123000-5420C101,2019-12-13 03:52:47,4,BRC03261,BRC03264,FA-6,20191213070106601,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106602,7,Night,T-201TH,123000-5420C101,2019-12-13 03:59:17,4,BRC03265,BRC03268,FA-6,20191213070106602,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106603,7,Night,T-201TH,123000-5420C101,2019-12-13 04:04:28,4,BRC03269,BRC03272,FA-6,20191213070106603,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106604,7,Night,T-201TH,123000-5420C101,2019-12-13 04:19:05,4,BRC03273,BRC03276,FA-6,20191213070106604,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106605,7,Night,T-201TH,123000-5420C101,2019-12-13 04:24:34,4,BRC03277,BRC03280,FA-6,20191213070106605,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106606,7,Night,T-201TH,123000-5420C101,2019-12-13 04:29:56,4,BRC03281,BRC03284,FA-6,20191213070106606,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106607,7,Night,T-201TH,123000-5420C101,2019-12-13 04:35:15,4,BRC03285,BRC03288,FA-6,20191213070106607,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106608,7,Night,T-201TH,123000-5420C101,2019-12-13 04:40:40,4,BRC03289,BRC03292,FA-6,20191213070106608,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106609,7,Night,T-201TH,123000-5420C101,2019-12-13 04:46:02,4,BRC03293,BRC03296,FA-6,20191213070106609,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106610,7,Night,T-201TH,123000-5420C101,2019-12-13 04:52:34,4,BRC03297,BRC03300,FA-6,20191213070106610,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K74,070106611,7,Night,T-203TH,123000-5440C101,2019-12-13 04:59:09,4,BRC00745,BRC00748,FA-6,20191213070106611,86120-0KA20-00,HEAD UNIT,4-170209105004.jpg,Printed,,4,
K72,070106612,7,Night,T-201TH,123000-5420C101,2019-12-13 05:05:34,4,BRC03301,BRC03304,FA-6,20191213070106612,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106613,7,Night,T-201TH,123000-5420C101,2019-12-13 05:12:23,4,BRC03305,BRC03308,FA-6,20191213070106613,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106614,7,Night,T-201TH,123000-5420C101,2019-12-13 05:18:32,4,BRC03309,BRC03312,FA-6,20191213070106614,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106615,7,Night,T-201TH,123000-5420C101,2019-12-13 05:24:47,4,BRC03313,BRC03316,FA-6,20191213070106615,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
02287,070106616,7,Night,T-363JP,123000-7160F101,2019-12-13 05:34:27,2,BRC00409,BRC00410,FA-6,20191213070106616,-,-,278-190607163442.jpg,Printed,,2,
02287,070106617,7,Night,T-363JP,123000-7160F101,2019-12-13 05:38:53,2,BRC00411,BRC00412,FA-6,20191213070106617,-,-,278-190607163442.jpg,Printed,,2,
02287,070106618,7,Night,T-363JP,123000-7160F101,2019-12-13 05:43:43,2,BRC00413,BRC00414,FA-6,20191213070106618,-,-,278-190607163442.jpg,Printed,,2,
02287,070106619,7,Night,T-363JP,123000-7160F101,2019-12-13 05:47:49,2,BRC00415,BRC00416,FA-6,20191213070106619,-,-,278-190607163442.jpg,Printed,,2,
02287,070106620,7,Night,T-363JP,123000-7160F101,2019-12-13 05:52:37,2,BRC00417,BRC00418,FA-6,20191213070106620,-,-,278-190607163442.jpg,Printed,,2,
02287,070106621,7,Night,T-363JP,123000-7160F101,2019-12-13 05:56:58,2,BRC00419,BRC00420,FA-6,20191213070106621,-,-,278-190607163442.jpg,Printed,,2,
02289,070106622,7,Night,T-365JP,123000-7180F101,2019-12-13 06:01:24,2,BRC00121,BRC00122,FA-6,20191213070106622,-,-,279-190607163543.jpg,Printed,,2,
02289,070106623,7,Night,T-365JP,123000-7180F101,2019-12-13 06:07:20,2,BRC00123,BRC00124,FA-6,20191213070106623,-,-,279-190607163543.jpg,Printed,,2,
02289,070106624,7,Night,T-365JP,123000-7180F101,2019-12-13 06:13:31,2,BRC00125,BRC00126,FA-6,20191213070106624,-,-,279-190607163543.jpg,Printed,,2,
02271,070106625,7,Night,T-208TH,123000-54920101,2019-12-13 06:21:03,4,BRC00441,BRC00444,FA-6,20191213070106625,86120-0KD22-00,HEAD UNIT,242-190410150325.jpg,Printed,,4,
00035,070106626,7,Night,T-209TH,123000-5500C101,2019-12-13 06:57:30,4,BRC00325,BRC00328,FA-6,20191213070106626,86120-0KD30-00,HEAD UNIT,213-190212141431.jpg,Printed,,4,
00035,070106627,7,Night,T-209TH,123000-5500C101,2019-12-13 07:06:09,4,BRC00329,BRC00332,FA-6,20191213070106627,86120-0KD30-00,HEAD UNIT,213-190212141431.jpg,Printed,,4,
02271,070106628,7,Night,T-208TH,123000-54920101,2019-12-13 07:10:54,4,BRC00445,BRC00448,FA-6,20191213070106628,86120-0KD22-00,HEAD UNIT,242-190410150325.jpg,Printed,,4,
