K72,070060454,7,Night,T-201TH,123000-5420C101,2018-12-25 04:16:34,4,BQC07221,BQC07224,FA-6,20181225070060454,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070060455,7,Night,T-201TH,123000-5420C101,2018-12-25 04:28:19,4,BQC07225,BQC07228,FA-6,20181225070060455,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070060456,7,Night,T-201TH,123000-5420C101,2018-12-25 04:41:22,4,BQC07229,BQC07232,FA-6,20181225070060456,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070060457,7,Night,T-201TH,123000-5420C101,2018-12-25 04:47:22,4,BQC07233,BQC07236,FA-6,20181225070060457,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070060458,7,Night,T-201TH,123000-5420C101,2018-12-25 04:53:05,4,BQC07237,BQC07240,FA-6,20181225070060458,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070060459,7,Night,T-201TH,123000-5420C101,2018-12-25 04:59:05,4,BQC07241,BQC07244,FA-6,20181225070060459,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070060460,7,Night,T-201TH,123000-5420C101,2018-12-25 05:06:02,4,BQC07245,BQC07248,FA-6,20181225070060460,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070060461,7,Night,T-201TH,123000-5420C101,2018-12-25 05:13:03,4,BQC07249,BQC07252,FA-6,20181225070060461,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070060462,7,Night,T-201TH,123000-5420C101,2018-12-25 05:19:39,4,BQC07253,BQC07256,FA-6,20181225070060462,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070060463,7,Night,T-201TH,123000-5420C101,2018-12-25 05:24:54,4,BQC07257,BQC07260,FA-6,20181225070060463,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070060464,7,Night,T-201TH,123000-5420C101,2018-12-25 05:31:01,4,BQC07261,BQC07264,FA-6,20181225070060464,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070060465,7,Night,T-201TH,123000-5420C101,2018-12-25 05:37:48,4,BQC07265,BQC07268,FA-6,20181225070060465,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070060466,7,Night,T-201TH,123000-5420C101,2018-12-25 05:44:02,4,BQC07269,BQC07272,FA-6,20181225070060466,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070060467,7,Night,T-201TH,123000-5420C101,2018-12-25 05:50:55,4,BQC07273,BQC07276,FA-6,20181225070060467,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070060468,7,Night,T-201TH,123000-5420C101,2018-12-25 05:57:25,4,BQC07277,BQC07280,FA-6,20181225070060468,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070060469,7,Night,T-201TH,123000-5420C101,2018-12-25 06:04:19,4,BQC07281,BQC07284,FA-6,20181225070060469,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070060470,7,Night,T-201TH,123000-5420C101,2018-12-25 06:11:02,4,BQC07285,BQC07288,FA-6,20181225070060470,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
